timestamp,latitude,longitude
2026/02/27 12:00:22.000+00,-25.3853382,-51.497009
2026/02/27 12:00:27.000+00,-25.3853329,-51.4970043
2026/02/27 12:00:32.000+00,-25.3853296,-51.4969953
2026/02/27 12:00:37.000+00,-25.3853213,-51.4969967
2026/02/27 12:00:42.000+00,-25.3853207,-51.4969921
2026/02/27 12:00:47.000+00,-25.3853001,-51.4969889
2026/02/27 12:00:52.000+00,-25.3852612,-51.496979
2026/02/27 12:00:57.000+00,-25.3852332,-51.4969697
2026/02/27 12:01:01.000+00,-25.3852111,-51.4969618
2026/02/27 12:01:02.000+00,-25.3852074,-51.49696
2026/02/27 12:01:06.000+00,-25.3851804,-51.4969347
2026/02/27 12:01:11.000+00,-25.3851554,-51.4969107
2026/02/27 12:01:15.000+00,-25.3851437,-51.4968762
2026/02/27 12:01:20.000+00,-25.3851403,-51.4968702
2026/02/27 12:01:24.000+00,-25.3851402,-51.4968708
2026/02/27 12:01:28.000+00,-25.3851422,-51.4968717
2026/02/27 12:01:33.000+00,-25.3851421,-51.4968721
2026/02/27 12:01:37.000+00,-25.385131,-51.4968706
2026/02/27 12:01:42.000+00,-25.3851251,-51.4968795
2026/02/27 12:01:46.000+00,-25.3851221,-51.4969072
2026/02/27 12:01:50.000+00,-25.3851179,-51.4969348
2026/02/27 12:01:55.000+00,-25.3851291,-51.4969323
2026/02/27 12:02:00.000+00,-25.3851318,-51.4969364
2026/02/27 12:02:05.000+00,-25.3851393,-51.4969462
2026/02/27 12:02:09.000+00,-25.3851834,-51.496981
2026/02/27 12:02:14.000+00,-25.3852102,-51.4969967
2026/02/27 12:02:19.000+00,-25.3852416,-51.496992
2026/02/27 12:02:23.000+00,-25.3852696,-51.4970055
2026/02/27 12:02:27.000+00,-25.3853057,-51.4970275
2026/02/27 12:02:30.000+00,-25.3853279,-51.497041
2026/02/27 12:02:35.000+00,-25.3853544,-51.4970564
2026/02/27 12:02:39.000+00,-25.385387,-51.497076
2026/02/27 12:02:43.000+00,-25.3854129,-51.4970927
2026/02/27 12:02:48.000+00,-25.3854179,-51.4970987
2026/02/27 12:02:52.000+00,-25.3854239,-51.4970858
2026/02/27 12:02:56.000+00,-25.3854499,-51.4971045
2026/02/27 12:02:57.000+00,-25.3854531,-51.4971112
2026/02/27 12:03:01.000+00,-25.385495,-51.4971225
2026/02/27 12:03:06.000+00,-25.3855292,-51.4971416
